kieskring_nummer;hoofdstembureau_gemeente;gemeente_naam
10;Haarlem;Ouder-Amstel
10;Haarlem;Uithoorn
10;Haarlem;Velsen
10;Haarlem;Weesp
10;Haarlem;Wijdemeren
10;Haarlem;Zandvoort
11;Den Helder;Alkmaar
11;Den Helder;Beemster
11;Den Helder;Bergen (NH.)
11;Den Helder;Castricum
11;Den Helder;Drechterland
11;Den Helder;Edam-Volendam
11;Den Helder;Enkhuizen
11;Den Helder;Heerhugowaard
11;Den Helder;Heiloo
11;Den Helder;Den Helder
11;Den Helder;Hollands Kroon
11;Den Helder;Hoorn
11;Den Helder;Koggenland
11;Den Helder;Landsmeer
11;Den Helder;Langedijk
11;Den Helder;Medemblik
11;Den Helder;Oostzaan
11;Den Helder;Opmeer
11;Den Helder;Purmerend
11;Den Helder;Schagen
11;Den Helder;Stede Broec
11;Den Helder;Texel
11;Den Helder;Uitgeest
11;Den Helder;Waterland
11;Den Helder;Wormerland
11;Den Helder;Zaanstad
12;'s-Gravenhage;'s-Gravenhage
13;Rotterdam;Rotterdam
14;Dordrecht;Alblasserdam
14;Dordrecht;Albrandswaard
14;Dordrecht;Barendrecht
14;Dordrecht;Brielle
14;Dordrecht;Delft
14;Dordrecht;Dordrecht
14;Dordrecht;Goeree-Overflakkee
14;Dordrecht;Gorinchem
14;Dordrecht;Hardinxveld-Giessendam
14;Dordrecht;Hellevoetsluis
14;Dordrecht;Hendrik-Ido-Ambacht
14;Dordrecht;Hoeksche Waard
14;Dordrecht;Maassluis
14;Dordrecht;Midden-Delfland
14;Dordrecht;Molenlanden
14;Dordrecht;Nissewaard
14;Dordrecht;Papendrecht
14;Dordrecht;Ridderkerk
14;Dordrecht;Rijswijk (ZH.)
14;Dordrecht;Schiedam
14;Dordrecht;Sliedrecht
14;Dordrecht;Vlaardingen
14;Dordrecht;Westland
14;Dordrecht;Westvoorne
14;Dordrecht;Zwijndrecht
15;Leiden;Alphen aan den Rijn
15;Leiden;Bodegraven-Reeuwijk
15;Leiden;Capelle aan den IJssel
15;Leiden;Gouda
15;Leiden;Hillegom
15;Leiden;Kaag en Braassem
15;Leiden;Katwijk
15;Leiden;Krimpen aan den IJssel
15;Leiden;Krimpenerwaard
15;Leiden;Lansingerland
15;Leiden;Leiden
15;Leiden;Leiderdorp
15;Leiden;Leidschendam-Voorburg
15;Leiden;Lisse
15;Leiden;Nieuwkoop
15;Leiden;Noordwijk
15;Leiden;Oegstgeest
15;Leiden;Pijnacker-Nootdorp
15;Leiden;Teylingen
15;Leiden;Voorschoten
15;Leiden;Waddinxveen
15;Leiden;Wassenaar
15;Leiden;Zoetermeer
15;Leiden;Zoeterwoude
15;Leiden;Zuidplas
16;Middelburg;Borsele
16;Middelburg;Goes
16;Middelburg;Hulst
16;Middelburg;Kapelle
16;Middelburg;Middelburg (Z.)
16;Middelburg;Noord-Beveland
16;Middelburg;Reimerswaal
16;Middelburg;Schouwen-Duiveland
16;Middelburg;Sluis
16;Middelburg;Terneuzen
16;Middelburg;Tholen
16;Middelburg;Veere
16;Middelburg;Vlissingen
17;Tilburg;Alphen-Chaam
17;Tilburg;Altena
17;Tilburg;Baarle-Nassau
17;Tilburg;Bergen op Zoom
17;Tilburg;Breda
17;Tilburg;Dongen
17;Tilburg;Drimmelen
17;Tilburg;Etten-Leur
17;Tilburg;Geertruidenberg
17;Tilburg;Gilze en Rijen
17;Tilburg;Goirle
17;Tilburg;Halderberge
17;Tilburg;Hilvarenbeek
17;Tilburg;Loon op Zand
17;Tilburg;Moerdijk
17;Tilburg;Oisterwijk
17;Tilburg;Oosterhout
17;Tilburg;Roosendaal
17;Tilburg;Rucphen
17;Tilburg;Steenbergen
17;Tilburg;Tilburg
17;Tilburg;Waalwijk
17;Tilburg;Woensdrecht
17;Tilburg;Zundert
18;'s-Hertogenbosch;Asten
18;'s-Hertogenbosch;Bergeijk
18;'s-Hertogenbosch;Bernheze
18;'s-Hertogenbosch;Best
18;'s-Hertogenbosch;Bladel
18;'s-Hertogenbosch;Boekel
18;'s-Hertogenbosch;Boxmeer
18;'s-Hertogenbosch;Boxtel
18;'s-Hertogenbosch;Cranendonck
18;'s-Hertogenbosch;Cuijk
18;'s-Hertogenbosch;Deurne
18;'s-Hertogenbosch;Eersel
18;'s-Hertogenbosch;Eindhoven
18;'s-Hertogenbosch;Geldrop-Mierlo
18;'s-Hertogenbosch;Gemert-Bakel
18;'s-Hertogenbosch;Grave
18;'s-Hertogenbosch;Heeze-Leende
18;'s-Hertogenbosch;Helmond
18;'s-Hertogenbosch;'s-Hertogenbosch
18;'s-Hertogenbosch;Heusden
18;'s-Hertogenbosch;Laarbeek
18;'s-Hertogenbosch;Landerd
18;'s-Hertogenbosch;Meierijstad
18;'s-Hertogenbosch;Mill en Sint Hubert
18;'s-Hertogenbosch;Nuenen, Gerwen en Nederwetten
18;'s-Hertogenbosch;Oirschot
18;'s-Hertogenbosch;Oss
18;'s-Hertogenbosch;Reusel-De Mierden
18;'s-Hertogenbosch;Sint Anthonis
18;'s-Hertogenbosch;Sint-Michielsgestel
18;'s-Hertogenbosch;Someren
18;'s-Hertogenbosch;Son en Breugel
18;'s-Hertogenbosch;Uden
18;'s-Hertogenbosch;Valkenswaard
18;'s-Hertogenbosch;Veldhoven
18;'s-Hertogenbosch;Vught
18;'s-Hertogenbosch;Waalre
19;Maastricht;Beek (L.)
19;Maastricht;Beekdaelen
19;Maastricht;Beesel
19;Maastricht;Bergen (L.)
19;Maastricht;Brunssum
19;Maastricht;Echt-Susteren
19;Maastricht;Eijsden-Margraten
19;Maastricht;Gennep
19;Maastricht;Gulpen-Wittem
19;Maastricht;Heerlen
19;Maastricht;Horst aan de Maas
19;Maastricht;Kerkrade
19;Maastricht;Landgraaf
19;Maastricht;Leudal
19;Maastricht;Maasgouw
19;Maastricht;Maastricht
19;Maastricht;Meerssen
19;Maastricht;Mook en Middelaar
19;Maastricht;Nederweert
19;Maastricht;Peel en Maas
19;Maastricht;Roerdalen
19;Maastricht;Roermond
19;Maastricht;Simpelveld
19;Maastricht;Sittard-Geleen
19;Maastricht;Stein (L.)
19;Maastricht;Vaals
19;Maastricht;Valkenburg aan de Geul
19;Maastricht;Venlo
19;Maastricht;Venray
19;Maastricht;Voerendaal
19;Maastricht;Weert
20;Bonaire;Bonaire
20;Bonaire;Sint Eustatius
20;Bonaire;Saba
